x-axis,1,2,3
second,Volt,Volt,Volt
-132.300E-03,+1.443750E+00,+1.656250E+00,+1.568250E+00
-132.200E-03,+1.350000E+00,+1.625000E+00,+1.505750E+00
-132.100E-03,+1.256250E+00,+1.531250E+00,+1.412000E+00
-132.000E-03,+1.193750E+00,+1.437500E+00,+1.287000E+00
-131.900E-03,+1.131250E+00,+1.375000E+00,+1.224500E+00
-131.800E-03,+1.100000E+00,+1.281250E+00,+1.162000E+00
-131.700E-03,+1.037500E+00,+1.187500E+00,+1.130750E+00
-131.600E-03,+881.250E-03,+1.125000E+00,+1.005750E+00
-131.500E-03,+850.000E-03,+1.093750E+00,+943.250E-03
-131.400E-03,+787.500E-03,+968.750E-03,+880.750E-03
-131.300E-03,+725.000E-03,+937.500E-03,+818.250E-03
-131.200E-03,+693.750E-03,+843.750E-03,+755.750E-03
-131.100E-03,+631.250E-03,+781.250E-03,+693.250E-03
-131.000E-03,+568.750E-03,+687.500E-03,+599.500E-03
-130.900E-03,+568.750E-03,+687.500E-03,+568.250E-03
-130.800E-03,+537.500E-03,+593.750E-03,+537.000E-03
-130.700E-03,+506.250E-03,+593.750E-03,+537.000E-03
-130.600E-03,+475.000E-03,+531.250E-03,+537.000E-03
-130.500E-03,+537.500E-03,+500.000E-03,+505.750E-03
-130.400E-03,+506.250E-03,+500.000E-03,+505.750E-03
-130.300E-03,+506.250E-03,+468.750E-03,+505.750E-03
-130.200E-03,+537.500E-03,+437.500E-03,+443.250E-03
-130.100E-03,+537.500E-03,+437.500E-03,+505.750E-03
-130.000E-03,+600.000E-03,+437.500E-03,+568.250E-03
-129.900E-03,+600.000E-03,+500.000E-03,+568.250E-03
-129.800E-03,+693.750E-03,+531.250E-03,+630.750E-03
-129.700E-03,+725.000E-03,+562.500E-03,+662.000E-03
-129.600E-03,+850.000E-03,+593.750E-03,+693.250E-03
-129.500E-03,+912.500E-03,+656.250E-03,+787.000E-03
-129.400E-03,+912.500E-03,+750.000E-03,+880.750E-03
-129.300E-03,+1.037500E+00,+812.500E-03,+974.500E-03
-129.200E-03,+1.131250E+00,+875.000E-03,+1.099500E+00
-129.100E-03,+1.225000E+00,+968.750E-03,+1.162000E+00
-129.000E-03,+1.287500E+00,+1.093750E+00,+1.255750E+00
-128.900E-03,+1.412500E+00,+1.156250E+00,+1.287000E+00
-128.800E-03,+1.475000E+00,+1.250000E+00,+1.443250E+00
-128.700E-03,+1.631250E+00,+1.343750E+00,+1.537000E+00
-128.600E-03,+1.725000E+00,+1.468750E+00,+1.630750E+00
-128.500E-03,+1.787500E+00,+1.562500E+00,+1.724500E+00
-128.400E-03,+1.881250E+00,+1.687500E+00,+1.849500E+00
-128.300E-03,+1.912500E+00,+1.718750E+00,+1.974500E+00
-128.200E-03,+1.975000E+00,+1.812500E+00,+2.068250E+00
-128.100E-03,+2.100000E+00,+1.937500E+00,+2.099500E+00
-128.000E-03,+2.162500E+00,+2.031250E+00,+2.162000E+00
-127.900E-03,+2.193750E+00,+2.093750E+00,+2.287000E+00
-127.800E-03,+2.256250E+00,+2.187500E+00,+2.318250E+00
-127.700E-03,+2.256250E+00,+2.218750E+00,+2.380750E+00
-127.600E-03,+2.287500E+00,+2.312500E+00,+2.412000E+00
-127.500E-03,+2.318750E+00,+2.375000E+00,+2.443250E+00
-127.400E-03,+2.318750E+00,+2.406250E+00,+2.505750E+00
-127.300E-03,+2.287500E+00,+2.437500E+00,+2.474500E+00
-127.200E-03,+2.318750E+00,+2.468750E+00,+2.443250E+00
-127.100E-03,+2.256250E+00,+2.406250E+00,+2.412000E+00
-127.000E-03,+2.225000E+00,+2.406250E+00,+2.412000E+00
-126.900E-03,+2.193750E+00,+2.406250E+00,+2.349500E+00
-126.800E-03,+2.131250E+00,+2.343750E+00,+2.349500E+00
-126.700E-03,+2.068750E+00,+2.312500E+00,+2.255750E+00
-126.600E-03,+1.975000E+00,+2.250000E+00,+2.130750E+00
-126.500E-03,+1.881250E+00,+2.156250E+00,+2.099500E+00
-126.400E-03,+1.787500E+00,+2.125000E+00,+2.005750E+00
-126.300E-03,+1.662500E+00,+2.031250E+00,+1.880750E+00
-126.200E-03,+1.537500E+00,+1.937500E+00,+1.787000E+00
-126.100E-03,+1.443750E+00,+1.781250E+00,+1.630750E+00
-126.000E-03,+1.381250E+00,+1.718750E+00,+1.568250E+00
-125.900E-03,+1.225000E+00,+1.593750E+00,+1.443250E+00
-125.800E-03,+1.131250E+00,+1.468750E+00,+1.287000E+00
-125.700E-03,+1.037500E+00,+1.312500E+00,+1.193250E+00
-125.600E-03,+912.500E-03,+1.218750E+00,+1.037000E+00
-125.500E-03,+850.000E-03,+1.093750E+00,+943.250E-03
-125.400E-03,+756.250E-03,+968.750E-03,+849.500E-03
-125.300E-03,+662.500E-03,+875.000E-03,+755.750E-03
-125.200E-03,+600.000E-03,+812.500E-03,+662.000E-03
-125.100E-03,+568.750E-03,+687.500E-03,+537.000E-03
-125.000E-03,+506.250E-03,+593.750E-03,+505.750E-03
-124.900E-03,+506.250E-03,+562.500E-03,+474.500E-03
-124.800E-03,+475.000E-03,+500.000E-03,+443.250E-03
-124.700E-03,+475.000E-03,+468.750E-03,+412.000E-03
-124.600E-03,+506.250E-03,+437.500E-03,+443.250E-03
-124.500E-03,+568.750E-03,+406.250E-03,+443.250E-03
-124.400E-03,+568.750E-03,+406.250E-03,+474.500E-03
-124.300E-03,+631.250E-03,+437.500E-03,+474.500E-03
-124.200E-03,+725.000E-03,+468.750E-03,+568.250E-03
-124.100E-03,+787.500E-03,+531.250E-03,+662.000E-03
-124.000E-03,+912.500E-03,+593.750E-03,+755.750E-03
-123.900E-03,+1.006250E+00,+687.500E-03,+849.500E-03
-123.800E-03,+1.131250E+00,+781.250E-03,+974.500E-03
